LocalAuthorityCode,takeaway_count,IMD_Score,BoroughName,population,takeaway_density_per_1000,obesity_rate
E09000001,13,16.07125,City of London,15111,0.8603004433856131,51.07349
E09000002,250,32.917840000000005,Barking and Dagenham,232747,1.074127700894104,71.65536
E09000003,1,8.319,Barnet,405050,0.002468831008517467,53.34249
E09000004,50,16.2332,Bexley,256434,0.1949819446719234,70.54951
E09000005,47,28.31002631578947,Brent,352976,0.13315352885181994,58.15166
E09000006,17,19.284785714285714,Bromley,335319,0.05069799206129089,59.9997
E09000007,671,19.947173469387756,Camden,216943,3.092978339932609,48.90008
E09000008,14,26.56346153846154,Croydon,409342,0.0342012302671116,61.35185
E09000009,196,23.399448275862067,Ealing,385985,0.5077917535655531,59.03182
E09000010,11,24.638454545454547,Enfield,327434,0.03359455646023321,62.97327
E09000011,196,24.26660810810811,Greenwich,299528,0.6543628642397372,59.1521
E09000012,291,32.68148837209303,Hackney,266758,1.0908763748416166,56.09263
E09000013,19,23.3695,Hammersmith and Fulham,188687,0.10069586140009645,45.58075
E09000014,169,29.516791666666663,Haringey,263850,0.6405154443812773,56.03712
E09000017,252,18.478875000000002,Hillingdon,329185,0.7655269833072589,62.65492
E09000019,245,27.750649350649354,Islington,223024,1.0985364803787934,49.83933
E09000021,5,14.048000000000002,Kingston upon Thames,172692,0.02895328098580131,55.1374
E09000022,35,27.572633333333332,Lambeth,316920,0.11043796541713997,51.40355
E09000023,41,27.891125,Lewisham,301255,0.1360973261854575,58.64016
E09000024,26,15.344722222222222,Merton,218539,0.11897189975244693,60.17755
E09000025,151,29.99673529411765,Newham,374523,0.4031795110046646,61.9076
E09000026,193,17.60870588235294,Redbridge,321231,0.6008137446261413,60.76359
E09000028,484,25.43720720720721,Southwark,314786,1.537552495981397,52.12476
E09000029,15,16.970599999999997,Sutton,214525,0.06992192052208367,65.64052
E09000030,5,27.542,Tower Hamlets,331886,0.015065414027708309,55.57481
E09000031,271,25.266463917525776,Waltham Forest,279737,0.9687670919470789,59.35304
E09000032,3,23.634,Wandsworth,337655,0.008884808458337654,51.26103
E09000033,17,22.83866666666667,Westminster,209996,0.08095392293186537,56.17029
