file,Field,Type,Unique,Unique %,Null,Null %,Populated,Populated %,Minimum,Maximum,Min Length,Max Length,Mean Length,Mean,Median,Std Dev,Skewness,Kurtosis
address,BusinessID,int32,1323408,58.4668,0,0,2263521,100,1,1323409,,,,597513.3305,571739,366806.1062,0.2186,-1.1029
address,address_1,string,575802,25.4383,0,0,2263521,100,,"£.POUND STRETCHER EXTRA, KINGSTON PARK CENTRE KINGSTON PARK AVENUE",0,231,14.1227,,,,,
address,address_2,string,294420,13.0072,242,0.0107,2263279,99.9893,,½ OF 11 CARBOST,0,100,9.4407,,,,,
address,address_3,string,50325,2.2233,0,0,2263521,100,,·**ACCESS TO HOUSE VIA LANE AT SIDE OF CO OP,0,99,6.3985,,,,,
address,address_4,string,22526,0.9952,0,0,2263521,100,,[100M EAST OF],0,109,4.3773,,,,,
address,postcode,string,365220,16.135,151,0.0067,2263370,99.9933,,_X000D_G63,0,10,6.1947,,,,,
address,date_created,date64[ms],2440,0.1078,0,0,2263521,100,2012-10-25,2023-04-27,,,,,,,,
address,date_updated,date64[ms],2211,0.0977,1323688,58.4792,939833,41.5208,2012-12-05,2023-04-27,,,,,,,,
business,ID,int32,1323408,100,0,0,1323408,100,1,1323409,,,,661704.6578,661704.5,382035.2127,0,-1.2
business,la_id_business_id,string,1323408,100,0,0,1323408,100,02100150/2024/2/000,900KK07160/0000/2/000,4,39,12.1259,,,,,
business,fsa_la_id,int32,408,0.0308,0,0,1323408,100,21,900,,,,471.8045,432,260.8521,0.1214,-1.1564
business,la_business_id,string,758013,57.2773,0,0,1323408,100,0,Z19/00281/CP,1,36,9.1259,,,,,
business,date_created,date64[ms],2418,0.1827,0,0,1323408,100,2012-10-25,2023-04-27,,,,,,,,
business,date_updated,date64[ms],2293,0.1733,628644,47.5019,694764,52.4981,2012-12-08,2023-04-27,,,,,,,,
business_name,BusinessID,int32,1323408,78.06,0,0,1695373,100,1,1323409,,,,647486.0939,636264,385127.4342,0.0493,-1.2405
business_name,business_name,string,954620,56.3074,0,0,1695373,100,!NOSH!,“IT'S PERSONAL”,1,238,18.2418,,,,,
business_name,date_created,date64[ms],2461,0.1452,0,0,1695373,100,2012-10-25,2023-04-27,,,,,,,,
business_name,date_updated,date64[ms],2304,0.1359,1323408,78.06,371965,21.94,2012-12-08,2023-04-27,,,,,,,,
business_type,BusinessID,int32,1323408,90.9858,0,0,1454521,100,1,1323409,,,,651043.3885,645369,381968.7078,0.0343,-1.207
business_type,business_type,string,23,0.0016,0,0,1454521,100,DISTRIBUTORS/TRANSPORTERS,TAKEAWAY/SANDWICH SHOP,8,37,22.1375,,,,,
business_type,business_type_id,int32,23,0.0016,0,0,1454521,100,1,7846,,,,4893.6557,7839,3429.2731,-0.5479,-1.4645
business_type,date_created,date64[ms],2431,0.1671,0,0,1454521,100,2012-10-25,2023-04-27,,,,,,,,
business_type,date_updated,date64[ms],1925,0.1323,1323408,90.9858,131113,9.0142,2012-12-08,2023-04-27,,,,,,,,
fhrsid,BusinessID,int32,1323408,96.097,0,0,1377158,100,1,1323409,,,,657147.3651,637381.5,375499.6115,0.0347,-1.1432
fhrsid,fhrs_business_id,int32,1300974,94.468,0,0,1377158,100,1,1616577,,,,776263.3502,724900.5,460185.5723,0.1258,-1.1242
fhrsid,date_created,date64[ms],2419,0.1757,0,0,1377158,100,2012-10-25,2023-04-27,,,,,,,,
fhrsid,date_updated,date64[ms],249,0.0181,1323408,96.097,53750,3.903,2012-12-29,2023-04-24,,,,,,,,
la,fsa_la_id,int32,407,100,0,0,407,100,21,900,,,,432.5848,402,278.0599,0.343,-1.2905
la,ons_la_id,string,392,96.3145,0,0,407,100,E06000001,Z99999999,9,9,9,,,,,
la,la_name,string,407,100,0,0,407,100,Aberdeen City,York,4,41,11.398,,,,,
la,la_website,string,397,97.543,0,0,407,100,http://eac.eu/,https://wyre.gov.uk,14,150,34.3833,,,,,
la,la_email,string,395,97.0516,0,0,407,100,,wrsenquiries@worcsregservices.gov.uk,0,55,29.8624,,,,,
location,BusinessID,int32,1078893,19.6346,0,0,5494854,100,1,1323409,,,,581688.0341,684818,321627.0326,-0.1958,-1.0814
location,latitude,double,623162,11.3408,0,0,5494854,100,49.1269,60.8288,,,,52.7284,52.2894,1.7435,1.0043,0.6026
location,longitude,double,623116,11.34,0,0,5494854,100,-8.298,1.7604,,,,-1.8429,-1.7979,1.6271,-0.5254,0.2545
location,bng_east,double,862227,15.6915,0,0,5494854,100,-33604.2057,655445.466,,,,412361.2032,413381.9854,109246.0796,-0.4382,0.0438
location,bng_north,double,863000,15.7056,0,0,5494854,100,-85720.1126,1216767.279,,,,315803.7475,266412.1488,194100.8755,1.0057,0.6022
location,utm29_east,double,861716,15.6822,0,0,5494854,100,548354.8212,1245283.532,,,,984389.1201,980958.8484,117300.6597,-0.4367,0.006
location,utm29_north,double,862488,15.6963,0,0,5494854,100,5469448.325,16767991.48,,,,6998328.398,5858518.072,3190806.312,2.4315,3.946
